id,creation_date,link_type_id,post_id,related_post_id
939,4/26/2010 3:00:35,1,85770,83953
1394,4/26/2010 3:00:40,1,108399,55273
1431,4/26/2010 3:00:41,1,110030,44601
1529,4/26/2010 3:00:42,1,114504,43249
1949,4/26/2010 3:00:58,1,134778,1669772
2769,4/26/2010 3:01:08,1,167927,77005
3012,4/26/2010 3:01:11,1,177177,8676
3242,4/26/2010 3:01:14,1,186196,85353
3780,4/26/2010 3:01:32,1,205749,96059
3813,4/26/2010 3:01:32,1,207111,64279
4021,4/26/2010 3:01:45,1,214605,214452
4339,4/26/2010 3:01:50,1,225572,171156
5481,4/26/2010 3:02:05,1,269913,250151
6166,4/26/2010 3:02:16,1,295575,122942
6173,4/26/2010 3:02:16,1,295626,295161
6718,4/26/2010 3:02:30,1,314078,260923
6735,4/26/2010 3:02:30,1,314424,86033
7093,4/26/2010 3:02:36,1,326103,138313
7618,4/26/2010 3:02:44,1,347096,257288
7755,4/26/2010 3:02:47,1,352420,20731
7758,4/26/2010 3:02:47,1,352462,220890
7987,4/26/2010 3:02:50,1,362385,153617
8182,4/26/2010 3:02:53,1,369273,137031
8954,4/26/2010 3:03:04,1,392859,294050
9094,4/26/2010 3:03:06,1,397449,344881
9799,4/26/2010 3:03:37,1,419476,361135
9929,4/26/2010 3:03:38,1,423335,414243
10076,4/26/2010 3:03:40,1,427760,114342
10318,4/26/2010 3:03:42,1,435326,435244
10566,4/26/2010 3:03:45,1,442377,267357
10774,4/26/2010 3:03:47,1,447624,125951
11012,4/26/2010 3:03:50,1,453765,368280
11036,4/26/2010 3:03:50,1,454706,75495
11473,4/26/2010 3:03:56,1,467738,318888
11503,4/26/2010 3:03:56,1,468753,111859
11898,4/26/2010 3:04:02,1,481289,179264
12153,4/26/2010 3:04:05,1,489913,40480
12175,4/26/2010 3:04:05,1,490850,245607
12364,4/26/2010 3:04:08,1,497992,453610
13082,4/26/2010 3:04:35,1,520757,209224
13547,4/26/2010 3:04:41,1,535198,7571
14501,4/26/2010 3:04:54,1,566358,98080
15375,4/26/2010 3:05:06,1,591031,514213
15724,4/26/2010 3:05:46,1,601928,263081
16438,4/26/2010 3:05:54,1,623224,245856
