id,title,body,accepted_answer_id,answer_count,comment_count,community_owned_date,creation_date,favorite_count,last_activity_date,last_edit_date,last_editor_display_name,last_editor_user_id,owner_display_name,owner_user_id,parent_id,post_type_id,score,tags,view_count
376158,,<p>Assuming // do something is more than just the comment take out the </p> <p>// do something </p> <p>code and see if it still crashes. Add stuff back one at a time till it crashes again</p>,,,0,,12/17/2008 21:52:23,,12/17/2008 21:52:23,,,,n8wrl,37710,361115,2,0,,
171458,,<p>A test is a way of precisely describing something you want. Adding a test expands the <em>scope</em> of what you want or adds <em>details</em> of what you want.</p> <p>If you can't think of anything more that you want or any refinements to what you want then move on to something else. You can always come back later.</p>,,,0,,10/5/2008 4:00:07,,10/5/2008 4:00:07,,,,jml,25221,135789,2,2,,
11421,,<p>You need to create your own exchange message sink to do this. Here's a classic VB example from MS KB:</p> <p><a href= http://support.microsoft.com/kb/317327 rel= nofollow title= excanvas ><a href= http://support.microsoft.com/kb/317327 rel= nofollow >http://support.microsoft.com/kb/317327</a></a></p> <p>and a VB Script one:</p> <p><a href= http://support.microsoft.com/kb/317680 rel= nofollow ><a href= http://support.microsoft.com/kb/317680 rel= nofollow >http://support.microsoft.com/kb/317680</a></a></p> <p>And lots of goodness from MSDN about Exchange 2003 Transport Event Sinks:</p> <p><a href= http://msdn.microsoft.com/en-us/library/ms526223(EXCHG.10).aspx rel= nofollow ><a href= http://msdn.microsoft.com/en-us/library/ms526223 rel= nofollow >http://msdn.microsoft.com/en-us/library/ms526223</a>(EXCHG.10).aspx</a></p> <p>If you're running Exchange 2007 then you can use Transport Rules:</p> <p><a href= http://msexchangeteam.com/archive/2006/12/12/431879.aspx rel= nofollow ><a href= http://msexchangeteam.com/archive/2006/12/12/431879.aspx rel= nofollow >http://msexchangeteam.com/archive/2006/12/12/431879.aspx</a></a></p> <p><a href= http://www.msexchange.org/tutorials/Using-Transport-Rules-Creating-Disclaimers-Exchange-Server-2007.html rel= nofollow ><a href= http://www.msexchange.org/tutorials/Using-Transport-Rules-Creating-Disclaimers-Exchange-Server-2007.html rel= nofollow >http://www.msexchange.org/tutorials/Using-Transport-Rules-Creating-Disclaimers-Exchange-Server-2007.html</a></a></p>,,,0,,8/14/2008 17:59:50,,8/14/2008 18:21:16,8/14/2008 18:21:16,Kevin Kenny,419,Kevin Kenny,419,11275,2,2,,
602817,,<p>I create UI paper prototypes when designing the UI of an application which produces lots of A3-sized papers (in one project we had many desks covered with papers). When the design is ready or it needs to be mailed to somebody I take pictures of it with a digital camera so that I can produce a series of pictures showing how to perform some tasks on the UI which serves as documentation of how the application is meant to work. This serves also as a backup in case somebody steals/cleans away the original papers.</p>,,,0,,3/2/2009 15:48:55,,3/2/2009 15:48:55,,,,Esko Luontola,62130,602708,2,1,,
442925,,<p>We are experimenting with switching from DevEnv to a tool (Visual Build Pro) that uses MsBuild under the hood and we got a Reference required to assembly 'System.Drawing... error for a project which doesn't need it and which builds fine in Visual Studio.</p>,,,0,,1/14/2009 13:27:54,,1/14/2009 13:27:54,,,,Ian Horwill,5816,141435,2,0,,
573606,,<p>If the other person really is sitting next to you might I suggest pair programming? They can come over to your computer and you can work together on it. It can be very effective and when you're having trouble you don't have to work in isolation.</p> <p>That being said even with pair programming sometimes you've got to send code to someone else that isn't ready for trunk. Other than the typing involved there's not much to creating a short-lived branch in subversion and some small scripts will automate a lot of the process for you.</p> <p>Here are two scripts that work for me. They assume a repository structure like:</p> <pre><code>project/trunk/ /branches/some_branch /another_branch </code></pre> <p>Some adjustments would be required to work with another structure.</p> <pre><code># script 1: svn_wc2b (working copy to branch) trunk_url=`svn info | grep URL | sed 's/URL: //'` project_base=`svn info | grep URL | sed 's/URL: //;s/\/trunk.*//'` branch_name=my_working_copy svn cp $trunk_url $project_base/branches/$branch_name -m Creating temporary branch for working copy. svn switch $project_base/branches/$branch_name </code></pre> <p>Then when you want to share your working copy of trunk you would type:</p> <pre><code>svn_wc2b # creates branch switches to it svn commit # commit your in-progress work to the branch </code></pre> <p>To get your code the other developer just needs to type:</p> <pre><code>svn switch http://repository/project/branches/my_working_copy </code></pre> <p>When the other developer is done and has committed changes use a script like this:</p> <pre><code># script 2: svn_b2wc (branch to working copy) branch_revision=`svn log -q --stop-on-copy | grep '^r[0-9]' | sed 's/^r//;s/ |.*//' | tail -n 1` if [ -e $branch_revision ] &amp;&amp; [ -e $1 ] then echo Couldn't get branch creation revision number. Check svn log --stop-on-copy and use svn_b2wc &lt;revision_number&gt; exit elif [ -e $branch_revision ] then branch_revision=$1 fi branch_url=`svn info | grep URL | sed 's/URL: //'` project_base=`svn info | grep URL | sed 's/URL: //;s/\/branches.*//'` branch_name=my_working_copy svn switch $project_base/trunk svn merge -r $branch_revision:HEAD $branch_url . svn delete $branch_url -m Deleting working copy branch. </code></pre> <p>From your directory that has been switched into your branch you type:</p> <pre><code>svn_b2wc # switch back to trunk merge branch changes delete branch </code></pre> <p>The code changed in the branch is now back in your working copy of trunk and you can continue working until you are ready to commit. It may seem like a lot just to share some code but if you spend some time automating your processes with scripts then it will only take seconds each time you need to use it.</p>,,,0,,2/21/2009 19:27:14,,2/21/2009 19:27:14,,,,Jeff Dallien,9121,572538,2,0,,
1084356,,<p>I'm afraid there is no good way of doing this. Real-world interactive programs simply do not use formatted (or unformatted come to that) input from a stream to read the keyboard - they use operating system specific methods.</p>,,,0,,7/5/2009 16:24:38,,7/5/2009 16:24:38,,,,anon,,1084251,2,0,,
418830,,<ol> <li>list the features of spider solitaire [i don't play card games]</li> <li>describe how you would test each feature</li> <li>do it</li> </ol>,,,0,,1/7/2009 1:09:13,,1/7/2009 1:09:13,,,,Steven A. Lowe,9345,418778,2,0,,
82609,,<p>Pure SQL (note: I would recommend using SQL features specific to your DBMS since it will be likely more efficient). This will get you the n+1th largest value (to get smallest flip the &lt;). If you have duplicates make it COUNT( DISTINCT VALUE )..</p> <pre><code>select id from table order by id desc limit 4 ; +------+ | id | +------+ | 2211 | | 2210 | | 2209 | | 2208 | +------+ SELECT yourvalue FROM yourtable t1 WHERE EXISTS( SELECT COUNT(*) FROM yourtable t2 WHERE t1.id &lt;&gt; t2.id AND t1.yourvalue &lt; t2.yourvalue HAVING COUNT(*) = 3 ) +------+ | id | +------+ | 2208 | +------+ </code></pre>,,,0,,9/17/2008 12:32:09,,9/17/2008 12:32:09,,,,Matt,2590,80706,2,3,,
588997,,<p>Whether it's x<sub>i</sub> or x<sub>r</sub> is irrelevant - it's the random number that we're feeding into function f().</p> <p>I'm more likely to write the function (aside from formatting) as follows:</p> <p>(x<sub>2</sub>-x<sub>1</sub>) * sum(f(x<sub>i</sub>))/N</p> <p>That way we can see that we're taking the average of N samples of f(x) to get an average height of the function then multiplying by the width (x2-x1).</p> <p>Because after all integration is just calculating area under the curve. (Nice pictures at <a href= http://hyperphysics.phy-astr.gsu.edu/Hbase/integ.html#c4 rel= nofollow >http://hyperphysics.phy-astr.gsu.edu/Hbase/integ.html#c4</a>.</p>,,,0,,2/26/2009 3:43:49,,2/26/2009 3:43:49,,,,Boofus McGoofus,1676,588973,2,0,,
