id,creation_date,post_id,vote_type_id
245810971,1/27/2022 0:00:00,70882985,11
57415841,11/16/2013 0:00:00,19872892,15
57703886,11/21/2013 0:00:00,20114527,15
238741747,9/17/2021 0:00:00,19945516,15
239330448,9/28/2021 0:00:00,69355148,15
8369274,6/29/2010 0:00:00,3132495,9
232325921,5/24/2021 0:00:00,67634166,11
155154114,1/16/2018 0:00:00,48229752,9
43512827,3/19/2013 0:00:00,15510116,11
36667122,11/18/2012 0:00:00,9004378,15
226032475,2/9/2021 0:00:00,65437138,11
161834217,4/21/2018 0:00:00,49622647,15
162001404,4/24/2018 0:00:00,49996604,15
70225310,6/19/2014 0:00:00,24306551,15
70249372,6/19/2014 0:00:00,24299905,15
50687444,7/18/2013 0:00:00,17728943,11
50729150,7/19/2013 0:00:00,17672179,8
116784392,6/25/2016 0:00:00,37997637,15
97070007,9/10/2015 0:00:00,32492149,15
97612631,9/18/2015 0:00:00,32644633,11
129212579,12/29/2016 0:00:00,40415210,8
129358421,1/2/2017 0:00:00,41372145,11
129905116,1/10/2017 0:00:00,41434565,9
180962856,2/14/2019 0:00:00,21361113,8
181017107,2/15/2019 0:00:00,54711009,11
181362802,2/20/2019 0:00:00,54793522,15
174616806,11/6/2018 0:00:00,53164318,11
174623397,11/6/2018 0:00:00,53165419,15
174658003,11/6/2018 0:00:00,53174074,11
83837566,2/19/2015 0:00:00,28582286,15
84473982,3/2/2015 0:00:00,28812229,12
64336564,3/12/2014 0:00:00,18329730,15
22798549,1/5/2012 0:00:00,7878997,15
103647279,12/17/2015 0:00:00,34289854,8
103974503,12/23/2015 0:00:00,34429493,15
167650058,7/19/2018 0:00:00,51358849,11
167811960,7/22/2018 0:00:00,22291446,11
167889737,7/23/2018 0:00:00,51486697,15
167970526,7/24/2018 0:00:00,48848899,15
14913902,5/10/2011 0:00:00,5955274,15
15337014,5/24/2011 0:00:00,6117606,11
15589599,6/2/2011 0:00:00,6212148,15
15806236,6/9/2011 0:00:00,6291627,15
199713998,12/13/2019 0:00:00,59266888,8
200410449,12/27/2019 0:00:00,59503243,11
200498851,12/30/2019 0:00:00,29665131,11
29316690,6/16/2012 0:00:00,11062894,11
29527299,6/21/2012 0:00:00,11133181,15
186873195,5/15/2019 0:00:00,56059799,9
187010798,5/17/2019 0:00:00,56181872,15
187136980,5/20/2019 0:00:00,56213813,15
187267269,5/21/2019 0:00:00,56244410,11
187439562,5/24/2019 0:00:00,56286583,11
123089573,9/28/2016 0:00:00,39740192,11
212739623,7/5/2020 0:00:00,62351071,15
212906849,7/7/2020 0:00:00,62783045,11
77762897,11/3/2014 0:00:00,26714236,15
110280145,3/23/2016 0:00:00,36179079,15
148787939,10/9/2017 0:00:00,46645300,15
142316156,7/7/2017 0:00:00,44955512,15
219480067,10/21/2020 0:00:00,64469746,15
219566142,10/23/2020 0:00:00,64413498,12
219655458,10/24/2020 0:00:00,64516635,15
220078335,10/31/2020 0:00:00,6887727,15
193563612,9/4/2019 0:00:00,57780052,15
246492757,2/9/2022 0:00:00,71045097,11
246592936,2/10/2022 0:00:00,2218126,15
58659395,12/8/2013 0:00:00,20407435,15
58776589,12/10/2013 0:00:00,7151981,9
240376267,10/17/2021 0:00:00,69600562,15
136750155,4/16/2017 0:00:00,43372158,8
233887520,6/20/2021 0:00:00,68013674,11
155937946,1/27/2018 0:00:00,48469445,11
245179074,1/17/2022 0:00:00,70736717,15
245375352,1/20/2022 0:00:00,70781474,12
57539706,11/18/2013 0:00:00,19495572,15
57608072,11/19/2013 0:00:00,20082673,11
238642334,9/15/2021 0:00:00,69164386,8
238865601,9/20/2021 0:00:00,69190210,8
7590976,5/14/2010 0:00:00,2834460,11
8338836,6/28/2010 0:00:00,3131936,11
135829751,4/2/2017 0:00:00,43035092,11
135909734,4/4/2017 0:00:00,42917142,9
43347328,3/17/2013 0:00:00,15457500,15
43348147,3/17/2013 0:00:00,15445890,15
43570349,3/20/2013 0:00:00,15527985,15
36656027,11/18/2012 0:00:00,13415798,8
36716805,11/19/2012 0:00:00,13460663,15
90581548,6/4/2015 0:00:00,26168813,8
90660997,6/5/2015 0:00:00,30663915,15
90750911,6/7/2015 0:00:00,30687175,15
50466373,7/15/2013 0:00:00,17654324,11
50646307,7/18/2013 0:00:00,17334404,9
97412737,9/15/2015 0:00:00,32307406,11
129798323,1/8/2017 0:00:00,352654,15
174196446,10/30/2018 0:00:00,52978381,9
174376738,11/1/2018 0:00:00,52632295,8
174457924,11/2/2018 0:00:00,36635364,12
83754696,2/18/2015 0:00:00,28581997,11
63608526,3/1/2014 0:00:00,21975982,8
63947572,3/6/2014 0:00:00,22149168,8
64353560,3/12/2014 0:00:00,22360227,11
64415298,3/13/2014 0:00:00,22381764,11
64480814,3/14/2014 0:00:00,22398695,15
22301723,12/19/2011 0:00:00,8566993,15
22829689,1/6/2012 0:00:00,8752131,15
103862553,12/21/2015 0:00:00,34313973,15
15417612,5/27/2011 0:00:00,6147947,15
15623208,6/3/2011 0:00:00,6223796,15
199830002,12/16/2019 0:00:00,59307953,8
199862184,12/17/2019 0:00:00,59280247,8
199945308,12/18/2019 0:00:00,59387097,11
200211974,12/23/2019 0:00:00,59287237,9
29700582,6/25/2012 0:00:00,10944449,15
29970198,7/1/2012 0:00:00,11283574,15
30116580,7/4/2012 0:00:00,11265329,8
186854803,5/15/2019 0:00:00,56142157,15
187345780,5/22/2019 0:00:00,56260879,15
187392566,5/23/2019 0:00:00,56275550,11
122613626,9/21/2016 0:00:00,39611341,11
123335564,10/1/2016 0:00:00,39807328,11
77172304,10/23/2014 0:00:00,25564337,8
77708686,11/2/2014 0:00:00,26591753,8
77729570,11/2/2014 0:00:00,26703278,11
110231164,3/22/2016 0:00:00,36165286,11
