id,creation_date,post_id,post_history_type_id,revision_guid,user_id,text,comment
26,8/1/2008 12:30:58,34,1,c2579e01-1223-48a0-be40-3e7d393b4418,,Unloading a ByteArray in Actionscript 3.,
609,8/3/2008 2:06:00,601,1,c9cb74c9-06b5-4631-8ad3-86e343c12490,,Robust Random Number Generation in C++/C#,
761,8/3/2008 15:07:10,717,1,d042f07f-81fc-4483-a4b8-831e92287a5e,,VFP .NET OLEdb provider does not work in Win 64-Bits. Help,
1170,8/4/2008 6:51:20,1064,1,3812fba1-2900-4fe6-b3eb-e13d382c7c31,,How To Display 100 Floating Cubes Using DirectX OR OpenGL?,
1560,8/4/2008 16:30:46,1387,1,ea7320a7-5bc3-49bd-97ac-765381b02816,,What are the current best options for parallelizing a CPU-intensive .NET app?,
2825,8/5/2008 15:05:00,2447,1,64d35f1f-16b0-4d69-93ca-f0289b5ecbed,,Are there best practices for testing security in an Agile development shop?,
4864,8/7/2008 0:25:03,4170,1,97d13df9-2d55-4f1c-8f20-388df321a641,,How to learn ADO.NET,
8809,8/10/2008 15:48:24,7224,1,ae89d6f8-6f01-482a-8110-00fd127d08f0,,Change the width of a scrollbar,
9430,8/11/2008 7:26:47,7586,1,51d45a81-c0ac-41b0-ba16-2e85294df3f4,,XAML - In C#,
10647,8/12/2008 11:28:37,8692,1,5613addb-82ec-481f-b3c6-96c8c48bdb75,,how to use xpath in python,
11301,8/12/2008 21:06:39,9240,1,5a0df6b2-dc1c-42b1-8ecf-08a93cee0881,,Interfaces on different logic layers,
11622,8/13/2008 6:04:53,9501,1,630d751d-7b1a-4465-a6ca-71cf4213dd6e,,Replicating load related crashes in non-production environments,
12085,8/13/2008 14:25:58,9882,1,a126c349-d240-4528-943e-bd7752ae96ad,,Looking for algorithm that reverses the sprintf() function output,
12144,8/13/2008 15:11:09,9928,1,9723b438-743b-4f2b-befd-c93d8f3e4f4a,,How to setup Groovy + Eclipse + Junit4  ?,
12313,8/13/2008 16:55:58,10072,1,a4a033b8-1a48-4337-be77-23ea707d0c5b,,Personalized icon next to the URL address in the browser's address bar?,
12543,8/13/2008 18:46:45,10205,1,ba361e27-92eb-4c3b-b8cb-a232887cd964,,Delimited string parsing framework,
12612,8/13/2008 20:20:28,10324,1,7cb33525-0b9d-4cdf-a64c-e1d74e281e27,,Convert Hex to Decimal efficiently in C,
13300,8/14/2008 9:51:06,10848,1,66e55771-3a9b-4d1e-971c-d03be285b813,,How to programmatically send SMS on the iPhone?,
13683,8/14/2008 14:46:30,11141,1,f8828526-e51d-4105-8ec0-eec5e81d0dcb,,ASP.NET Caching,
15161,8/15/2008 15:06:32,12330,1,6c7b2623-e89b-430c-8811-c4481b0d6df0,,Progrmmatically list WMI classes and their properties,
15328,8/15/2008 14:01:15,12268,1,3cc032d7-7834-4215-bc9f-347dafca27a5,,Have you ever reflected Reflector?,
16510,8/16/2008 20:31:45,13345,1,15eab649-c848-4d31-8df4-a041d4f8656b,,Firefox plugin - sockets,
16645,8/17/2008 1:23:50,13454,1,039fd7d3-f599-4822-bfd6-fe901944bf0e,,Python version of PHP's stripslashes,
16733,8/17/2008 2:02:47,13471,1,964fbc3a-8d2c-47c8-8aca-52d7d7ebf127,,"Are there any ""mind mapping"" components for Delphi? (native VCL preferably)",
17050,8/17/2008 14:48:00,13655,1,a7439735-bdb3-4f7d-bda5-213eebc3d377,,C# .NET listing contents of remote files,
18398,8/18/2008 14:06:14,14656,1,d14481ae-d2d7-4f95-94a6-b0513c3e3172,,Can a proxy server cache SSL requests?,
18576,8/18/2008 14:38:28,14712,1,426e6bf8-99aa-4330-a56a-0ca810ca9b4a,,TortoiseSVN & Putty very slow,
18813,8/18/2008 17:11:15,14934,1,d4603225-8687-4ad6-95e6-e06445e8a866,,Parameter Binding: What happens under the hood?,
18923,8/18/2008 18:01:34,15007,1,c7c31473-e8c8-447b-ba3d-986df55925d3,,Executing JavaScript to Render HTML for Server-Side Caching,
18945,8/18/2008 18:17:13,15023,1,e92c65cf-6a96-4209-b145-cf16368eadbe,,How to get list of installed BitmapEncoders/Decoders (the WPF world)?,
19458,8/18/2008 23:58:11,15399,1,87991d40-9d07-42d1-a381-9ad16cda8dcb,,SQL With A Safety Net,
19483,8/18/2008 23:56:34,15398,1,cf5afbc9-55a5-4e2c-8204-9ddd72080bba,,DLL plugin that creates a parented window doesn't handle messages correctly,
21106,8/19/2008 18:31:32,16689,1,a09d4e0d-6045-47a0-8d92-8610dc8214a2,,Java and c# interoperability,
21143,8/19/2008 18:48:11,16727,1,cff2e51f-d19d-4edf-bfca-d492a1c9d489,,how to get locale information on a GWT application,
21415,8/19/2008 21:00:38,16945,1,ca981916-4e26-4a51-b9da-2bf5e5abe4e4,,What is the best way to rename (move) file system branches in .NET?,
22296,8/20/2008 8:38:25,17609,1,98992571-a65e-44be-a138-9ad76805014f,,Email queueing in php,
22727,8/20/2008 13:31:37,17955,1,b2d82f2d-d536-4fd8-b9d7-642e1d099e72,,"Solution deployment, CM, InstallShield",
22899,8/20/2008 14:39:13,18119,1,ff7c8922-7af0-4116-bd0c-c372b4a8fd02,,How to keep track of the references to an object?,
23049,8/20/2008 15:40:53,18250,1,5abd11af-d15c-4461-ae51-b993cb2d9cd4,,Creation Date of Compiled Executable (VC++ 2005),
23196,8/20/2008 16:30:52,18324,1,76e30e2a-1026-4506-a7f1-bccaf2b303fe,,Mixing 32 bit and 16 bit code with nasm,
24557,8/21/2008 7:58:10,19458,1,26f6be91-b785-40ed-be72-3ca1b67df3bd,,Which SQL?,
24902,8/21/2008 12:24:23,19713,1,27669ed8-7690-45b9-a48d-c620fc2d9e44,,"Interlocked.Exchange, but not for booleans?",
27993,8/22/2008 10:51:19,22059,1,597d06a0-3a39-40b1-b8a2-ed2c7941e855,,"Zemanta/Open Calais,  how do they do that.",
28168,8/22/2008 12:14:38,22181,1,3311403b-860b-4b08-b5a9-983d0b07580b,,ADO.NET Mapping From SQLDataReader to Domain Object?,
29412,8/22/2008 18:47:04,23169,1,c07417e1-77dc-4cd2-ae4b-043e2013a591,,"HTML using Groovy MarkupBuilder, how do I elegantly mix tags and text?",
31455,8/15/2008 6:52:00,12039,1,28d98b3e-b90d-4712-87e0-55d31e00fcff,,"Windows MiniDump files -- ""Symbols can not be loaded"" when trying to read with WinDbg",
32407,8/23/2008 21:40:11,24623,1,46105354-23d7-40a5-8b00-c7dadaf0e44d,,J2EE - DAO DVO,
33125,8/8/2008 18:04:04,6209,1,c32152cb-7571-46dd-a02d-e791e6f0ff5f,,Split a string ignoring quoted sections,
33147,8/20/2008 4:30:25,17411,1,a3e16abe-1646-4588-bc41-248ae73735e6,,How do you separate game logic from display?,
33156,8/24/2008 2:40:19,24812,1,d896a14c-8cc8-4fcc-a69f-f58dfbbaaf6d,,Reccomendations needed for good AI references,
33428,8/22/2008 17:10:30,22907,1,552694de-7f9b-4d7c-83f0-d7c29392171a,,"Which is better:  Ad hoc queries, or stored procedures?",
33443,8/24/2008 16:16:22,25142,1,1e5d03a3-868a-4e0f-b400-f35d88d28a65,,Stored Procude and Timeout,
34090,8/25/2008 5:04:31,25675,1,9befe088-e22a-4f5b-bd05-9b9de0b1e278,,MVC - where to implement form validation (server-side)?,
34296,8/25/2008 8:28:20,25771,1,9852e3f1-0b0e-47b5-93af-280225247230,,Output compile time stamp in Visual C++ executable?,
34446,8/25/2008 11:24:38,25871,1,64300da8-b044-4041-a311-ea602eadf498,,Webpart registration error in event log,
34739,8/13/2008 23:03:42,10458,1,1b49d402-3f9c-448b-9548-38938f87646d,,"Is there a ""Set"" data structure in .Net?",
35370,8/25/2008 17:26:47,26455,1,4f7084f9-964e-4789-a77e-7b8e0dd92946,,Does Design By Contract Work For You?,
35402,8/4/2008 13:38:19,1229,1,429f6330-b4b7-475b-8972-5503cfe4ebdf,,how to hyperlink to a specific slide of a .ppt file,
35464,8/25/2008 16:52:23,26383,1,8305addf-f726-4fd2-a6a3-ac64aa18cf6c,,Exception handling: Contract vs Exceptional approach,
35745,8/25/2008 4:59:25,25672,1,ccacea22-f834-42d6-b579-aeda5283bc60,,"Coldfusion - When to use the ""request"" scope?",
37402,8/25/2008 19:56:38,26732,1,ea01f3dd-1bab-4266-9fe1-617ca8a898b1,,Invalid <url-pattern> servlet mapping in tomcat 6.0,
37414,8/26/2008 8:32:51,27562,1,dfa728b2-71e5-492d-8c08-d43cb3e4b72c,,Oracle write to file,
37510,8/26/2008 13:23:38,28009,1,fb588cdc-9979-4236-b9c7-b85ffe68da5a,,When do you use table clusters?,
