id,title,body,accepted_answer_id,answer_count,comment_count,community_owned_date,creation_date,favorite_count,last_activity_date,last_edit_date,last_editor_display_name,last_editor_user_id,owner_display_name,owner_user_id,parent_id,post_type_id,score,tags,view_count
18,,"<p>For a table like this:</p>

<pre><code>CREATE TABLE binary_data (
    id INT(4) NOT NULL AUTO_INCREMENT PRIMARY KEY,
    description CHAR(50),
    bin_data LONGBLOB,
    filename CHAR(50),
    filesize CHAR(50),
    filetype CHAR(50)
);
</code></pre>

<p>Here is a PHP example:</p>

<pre><code>&lt;?php
    // store.php3 - by Florian Dittmer &lt;dittmer@gmx.net&gt;
    // Example php script to demonstrate the storing of binary files into
    // an sql database. More information can be found at http://www.phpbuilder.com/
?&gt;

&lt;html&gt;
    &lt;head&gt;&lt;title&gt;Store binary data into SQL Database&lt;/title&gt;&lt;/head&gt;

    &lt;body&gt;
        &lt;?php
            // Code that will be executed if the form has been submitted:

            if ($submit) {
                // Connect to the database (you may have to adjust
                // the hostname, username or password).

                mysql_connect(""localhost"", ""root"", ""password"");
                mysql_select_db(""binary_data"");

                $data = mysql_real_escape_string(fread(fopen($form_data, ""r""), filesize($form_data)));

                $result = mysql_query(""INSERT INTO binary_data (description, bin_data, filename, filesize, filetype) "".
                                    ""VALUES ('$form_description', '$data', '$form_data_name', '$form_data_size', '$form_data_type')"");

                $id= mysql_insert_id();
                print ""&lt;p&gt;This file has the following Database ID: &lt;b&gt;$id&lt;/b&gt;"";

                mysql_close();
            } else {

                // else show the form to submit new data:
        ?&gt;
        &lt;form method=""post"" action=""&lt;?php echo $PHP_SELF; ?&gt;"" enctype=""multipart/form-data""&gt;
            File Description:&lt;br&gt;
            &lt;input type=""text"" name=""form_description""  size=""40""&gt;
            &lt;input type=""hidden"" name=""MAX_FILE_SIZE"" value=""1000000""&gt;
            &lt;br&gt;File to upload/store in database:&lt;br&gt;
            &lt;input type=""file"" name=""form_data""  size=""40""&gt;
            &lt;p&gt;&lt;input type=""submit"" name=""submit"" value=""submit""&gt;
        &lt;/form&gt;

        &lt;?php
            }
        ?&gt;
    &lt;/body&gt;
&lt;/html&gt;
</code></pre>",,,2,,08/01/2008 05:12,,06/02/2016 05:56,06/02/2016 05:56,Jeff Atwood,126039,phpguy,,17,2,59,,
165,,"<p>You can use a <a href=""http://sharpdevelop.net/OpenSource/SharpZipLib/"" rel=""nofollow noreferrer"">3rd-party library such as SharpZip</a> as Tom pointed out.</p>

<p>Another way (without going 3rd-party) is to use the Windows Shell API. You'll need to set a reference to the Microsoft Shell Controls and Automation COM library in your C# project. Gerald Gibson has an example at:</p>

<p><a href=""http://web.archive.org/web/20130724085455/http://geraldgibson.net/dnn/Home/CZipFileCompression/tabid/148/Default.aspx"" rel=""nofollow noreferrer"">Internet Archive's copy of the dead page</a></p>",,,0,,08/01/2008 18:04,,04/06/2019 14:03,04/06/2019 14:03,,1721793,user2189331,,145,2,10,,
1028,,"<p>The VB code looks something like this:</p>

<pre><code>hMutex = CreateMutex(ByVal 0&amp;, 1, ByVal 0&amp;)
</code></pre>

<p>The first parameter is a pointer to an <code>SECURITY_ATTRIBUTES</code> structure. If you don't know what it is, you don't need it. Pass NULL (0).</p>

<p>The second parameter is <code>TRUE</code> (non-zero, or 1) if the calling thread should take ownership of the mutex. <code>FALSE</code> otherwise.</p>

<p>The third parameter is the mutex name and may be NULL (0), as shown. If you need a named mutex, pass the name (anything unique) in. Not sure whether the <code>VB</code> wrapper marshals the length-prefixed <code>VB</code> string type (<code>BSTR</code>) over to a null-terminated Ascii/Unicode string if not, you'll need to do that and numerous examples are out there.</p>

<p>Good luck!</p>",,,0,,08/04/2008 04:58,,02/07/2013 13:22,02/07/2013 13:22,,395659,user2189331,,947,2,8,,
1073,,"<p>My first choice would be a dedicated heap tool such as <a href=""https://support.microsoft.com/en-us/kb/286470"" rel=""noreferrer"">pageheap.exe</a>.</p>

<p>Rewriting new and delete might be useful, but that doesn't catch the allocs committed by lower-level code. If this is what you want, better to Detour the <code>low-level alloc API</code>s using Microsoft Detours.</p>

<p>Also sanity checks such as: verify your run-time libraries match (release vs. debug, multi-threaded vs. single-threaded, dll vs. static lib), look for bad deletes (eg, delete where delete [] should have been used), make sure you're not mixing and matching your allocs.</p>

<p>Also try selectively turning off threads and see when/if the problem goes away.</p>

<p>What does the call stack etc look like at the time of the first exception?</p>",,,0,,08/04/2008 07:51,,09/01/2015 17:32,09/01/2015 17:32,,45459,user2189331,,1069,2,29,,
1260,,"<p>I found the answer. all you have to do is add #n after .ppt. </p>

<p>For example, <a href=""http://www.whatever.com/hello.ppt#4"" rel=""nofollow noreferrer"">http://www.whatever.com/hello.ppt#4</a>  will take you straight to the 4th slide.</p>",,,0,,08/04/2008 14:06,,12/20/2016 8:38:49,12/20/2016 8:38:49,,1221571,Jin,,1229,2,1,,
2216,,"<p>Thxm, Mc! <a href=""http://asm.objectweb.org"" rel=""nofollow noreferrer"">http://asm.objectweb.org</a>/ is another one. <em>Excellent</em> documentation on byte code instrumentation, but nothing ""directly"" aimed at writing a coverage tool - just some hints or ideas.</p>",,,0,,08/05/2008 12:50,,10/13/2016 12:50:44,10/13/2016 12:50:44,,1571180,bill,,2092,2,4,,
2498,,"<p>The two self-balancing <code>BST</code>s I'm most familiar with are red-black and <code>AVL</code>, so I can't say for certain if any other solutions are better, but as I recall, red-black has faster insertion and slower retrieval compared to <code>AVL</code>. </p>

<p>So if insertion is a higher priority than retrieval, red-black may be a better solution.</p>",,,0,,08/05/2008 15:50,,02/07/2013 14:40,02/07/2013 14:40,,395659,user316,,2481,2,0,,
2977,,"<p>I would look at <a href=""http://www.google.com/search?q=Zork+in+Java"" rel=""noreferrer"">Java migrations</a> of <a href=""http://en.wikipedia.org/wiki/Zork"" rel=""noreferrer"">Zork</a>, and lean towards a simple <a href=""http://en.wikipedia.org/wiki/Natural_language_processing"" rel=""noreferrer"">Natural Language Processor</a> (driven either by tokenizing or regex) such as the following (from this link):</p>

<pre>
    public static boolean simpleNLP( String inputline, String keywords[])
    {
        int i;
        int maxToken = keywords.length;
        int to,from;
        if( inputline.length() = inputline.length()) return false; // check for blank and empty lines
        while( to >=0 )
        {
            to = inputline.indexOf(' ',from);
            if( to > 0){
                lexed.addElement(inputline.substring(from,to));
                from = to;
                while( inputline.charAt(from) == ' '
                && from = keywords.length) { status = true; break;}
            }
        }
        return status;
    }
</pre>

<p>...</p>

<p>Anything which gives a programmer a reason to look at Zork again is good in my book, just watch out for Grues.</p>

<p>...</p>",,,0,,08/06/2008 00:16,,08/06/2008 16:20,08/06/2008 16:20,Justin Standard,92,user2189331,,2968,2,7,,
6206,,"<p>For a 3x3 system of linear equations I guess it would be okay to roll out your own algorithms. </p>

<p>However, you might have to worry about accuracy, division by zero or really small numbers and what to do about infinitely many solutions. My suggestion is to go with a standard numerical linear algebra package such as <a href=""http://en.wikipedia.org/wiki/Lapack"" rel=""nofollow noreferrer"">LAPACK</a>. </p>",,,0,,08/08/2008 17:59,,12/20/2016 5:58:05,12/20/2016 5:58:05,,1997093,Pall Melsted,,769,2,7,,
6620,,"<p><strong>Pros of config file:</strong>  </p>

<ol>
<li>Easy to do. Don't need to know any Windows API calls. You just need to know the file I/O interface of your programming language.  </li>
<li>Portable. If you port your application to another OS, you don't need to change your settings format.  </li>
<li>User-editable. The user can edit the config file outside of the program executing.</li>
</ol>

<p><strong>Pros of registry:</strong>  </p>

<ol>
<li>Secure. The user can't accidentally delete the config file or corrupt the data unless he/she knows about regedit. And then the user is just asking for trouble.  </li>
<li>I'm no expert Windows programmer, but I'm sure that using the registry makes it easier to do other Windows-specific things (user-specific settings, network administration stuff like group policy, or whatever else).</li>
</ol>

<p>If you just need a simple way to store config information, I would recommend a config file, using INI or XML as the format. I suggest using the registry only if there is something specific you want to get out of using the registry.</p>",,,4,,08/09/2008 04:52,,2/25/2011 13:13:39,2/25/2011 13:13:39,,8418,user316,,6607,2,44,,
6700,,"<h2>Updated answer</h2>
<p><strong>Here's an update as of 2016 and <a href=""http://kangax.github.io/compat-table/es5/"" rel=""noreferrer"">widespread deployment of ES5</a> and beyond.</strong>  For IE9+ and all other modern ES5+ capable browsers, you can use <a href=""https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/Object/keys"" rel=""noreferrer""><code>Object.keys()</code></a> so the above code just becomes:</p>
<pre><code>var size = Object.keys(myObj).length;
</code></pre>
<p>This doesn't have to modify any existing prototype since <code>Object.keys()</code> is now built-in.</p>
<p><strong>Edit</strong>: Objects can have symbolic properties that can not be returned via Object.key method. So the answer would be incomplete without mentioning them.</p>
<p>Symbol type was added to the language to create unique identifiers for object properties. The main benefit of the Symbol type is the prevention of overwrites.</p>
<p><code>Object.keys</code> or <code>Object.getOwnPropertyNames</code> does not work for symbolic properties. To return them you need to use <code>Object.getOwnPropertySymbols</code>.</p>
<p><div class=""snippet"" data-lang=""js"" data-hide=""false"" data-console=""true"" data-babel=""false"">
<div class=""snippet-code"">
<pre class=""snippet-code-js lang-js prettyprint-override""><code>var person = {
  [Symbol('name')]: 'John Doe',
  [Symbol('age')]: 33,
  ""occupation"": ""Programmer""
};

const propOwn = Object.getOwnPropertyNames(person);
console.log(propOwn.length); // 1

let propSymb = Object.getOwnPropertySymbols(person);
console.log(propSymb.length); // 2</code></pre>
</div>
</div>
</p>
<h2>Older answer</h2>
<p>The most robust answer (i.e. that captures the intent of what you're trying to do while causing the fewest bugs) would be:</p>
<p><div class=""snippet"" data-lang=""js"" data-hide=""false"" data-console=""true"" data-babel=""false"">
<div class=""snippet-code"">
<pre class=""snippet-code-js lang-js prettyprint-override""><code>Object.size = function(obj) {
  var size = 0,
    key;
  for (key in obj) {
    if (obj.hasOwnProperty(key)) size++;
  }
  return size;
};

// Get the size of an object
const myObj = {}
var size = Object.size(myObj);</code></pre>
</div>
</div>
</p>
<p>There's a sort of convention in JavaScript that you <a href=""https://stackoverflow.com/questions/10757455/object-prototype-is-verboten"">don't add things to Object.prototype</a>, because it can break enumerations in various libraries. Adding methods to Object is usually safe, though.</p>
<hr />",,,16,,08/09/2008 08:31,,11/25/2021 12:13:16,11/25/2021 12:13:16,user985399,123671,James Coglan,,5223,2,3169,,
7587,,<p>How about using the new Workflow components in .NET 3.0 (and 3.5)? That is what we use in combination with templates in my current project. The templates have the basic format and the tokens are replaced with user information.</p>,,,0,,08/11/2008 07:33,,11/20/2016 0:25:16,11/20/2016 0:25:16,,6392939,lone wolf,,6210,2,0,,
7842,,"<p>You can do this in two lines in python with</p>
<pre><code>allSums = set(a+b for a in X for b in X)
allSums = sorted(allSums)
</code></pre>
<p>The cost of this is <code>n^2</code> (maybe an extra log factor for the set?) for the iteration and s * log(s) for the sorting where s is the size of the set.</p>
<p>The size of the set could be as big as <code>n*(n-1)/2</code> for example if <code>X = [1,2,4,...,2^n]</code>. So if you want to generate this list it will take at least <code>n^2/2</code> in the worst case since this is the size of the output.</p>
<p>However if you want to select the first k elements of the result you can do this in O(kn) using a selection algorithm for sorted <code>X+Y</code> matrices by Frederickson and Johnson (<a href=""http://arxiv.org/abs/0804.0936"" rel=""nofollow noreferrer"">see here for gory details)</a>. Although this can probably be modified to generate them online by reusing computation and get an efficient generator for this set.</p>
<p>@deuseldorf, Peter
There is some confusion about <code>(n!)</code> I seriously doubt deuseldorf meant &quot;n factorial&quot; but simply &quot;n, (very excited)!&quot;</p>",,,1,,08/11/2008 14:47,,7/27/2020 1:15:48,7/27/2020 1:15:48,,6800539,Pall Melsted,,826,2,2,,
8661,,"<p>Another thing to consider: in debug mode, the variables are initialized with 0xCCCCCCCC instead of zero. That might have some nasty side effects.</p>",,,0,,08/12/2008 10:48,,09/07/2012 22:59,09/07/2012 22:59,,450827,HS,,8612,2,0,,
10287,,"<p>The only reason why I wouldn't use the <code>ThreadPool</code> for cheap multithreading is if I need to&hellip;</p>

<ol>
<li>interract with the method running (e.g., to kill it)</li>
<li>run code on a <a href=""http://msdn.microsoft.com/en-us/library/system.stathreadattribute.aspx"" rel=""nofollow noreferrer"" title=""Single-Threaded Apartment thread; see e.g. this MSDN reference page for STAThreadAttribute"">STA thread</a> (this happened to me)</li>
<li>keep the thread alive after my application has died (<code>ThreadPool</code> threads are background threads)</li>
<li>in case I need to change the priority of the Thread.  We can not change priority of threads in ThreadPool which is by default Normal.</li>
</ol>

<blockquote>
  <p><strong>P.S.:</strong> The MSDN article <a href=""http://msdn.microsoft.com/en-us/library/0ka9477y.aspx"" rel=""nofollow noreferrer"" title=""The Managed Thread Pool (page on MSDN)""><em>""The Managed Thread Pool""</em></a> contains a section titled, <em>""When Not to Use Thread Pool Threads""</em>, with a very similar but slightly more complete list of possible reasons for not using the thread pool.</p>
</blockquote>

<p>There are lots of reasons why you would need to skip the <code>ThreadPool</code>, but if you don't know them then the <code>ThreadPool</code> should be good enough for you.</p>

<p>Alternatively, look at the new <a href=""https://docs.microsoft.com/en-us/visualstudio/extensibility/debugger/parallel-extension-internals-for-the-dotnet-framework"" rel=""nofollow noreferrer"">Parallel Extensions Framework</a>, which has some neat stuff in there that may suit your needs without having to use the <code>ThreadPool</code>.</p>",,,7,,8/13/2008 19:32:25,,07/12/2018 14:55,07/12/2018 14:55,,6916677,user1228,,10274,2,17,,
10838,,<p>If you're using Sybase 12.5 or earlier then you can't use functions. A workaround might be to populate a temporary table with the values and read them from there.</p>,,,0,,8/14/2008 9:27:31,,3/23/2014 20:23:24,3/23/2014 20:23:24,,267702,user3378,,6369,2,4,,
